title,user_id,post_time,post,reply_cnt,reply_author,reply_content
TV로보는데 화질 너무 좋다,호세피렐라,2023.07.27 20:04,쿠팡 고마워..,5,춥지않던겨울,티비 몇번에서 하나요,2023.07.27 20:04
TV로보는데 화질 너무 좋다,호세피렐라,2023.07.27 20:04,쿠팡 고마워..,5,호세피렐라,ㄴ 춥지않던겨울 쿠팡플레이로 튼거에요,2023.07.27 20:04
TV로보는데 화질 너무 좋다,호세피렐라,2023.07.27 20:04,쿠팡 고마워..,5,간지붐송,ㄴ 춥지않던겨울 쿠플 독점이라 TV에 연결해서 보는 사람들 꽤 있음,2023.07.27 20:05
TV로보는데 화질 너무 좋다,호세피렐라,2023.07.27 20:04,쿠팡 고마워..,5,전진우,현장음도 적절하니 넘 좋음ㅋㅋㅋ,2023.07.27 20:04
TV로보는데 화질 너무 좋다,호세피렐라,2023.07.27 20:04,쿠팡 고마워..,5,Nasir,너무 좋다 화질,2023.07.27 20:05
저쿠팡대표가 축구를 좋아하나?,내이름은그루트다,2023.07.27 19:56,중계권 따는 거 보면 아무리 비즈니스라해도 사심 없이는 힘들거 같은데,5,동해물과백두산,ㅇㅇ 좋아하지 않고서야 저렇게 못하지케이리그 중계권 딴 거만 봐도,2023.07.27 19:57
저쿠팡대표가 축구를 좋아하나?,내이름은그루트다,2023.07.27 19:56,중계권 따는 거 보면 아무리 비즈니스라해도 사심 없이는 힘들거 같은데,5,내이름은그루트다,ㄴ 동해물과백두산 그치? 오늘 조규성 중계권 딴 거 보고 거의 확신하고 있음,2023.07.27 19:58
저쿠팡대표가 축구를 좋아하나?,내이름은그루트다,2023.07.27 19:56,중계권 따는 거 보면 아무리 비즈니스라해도 사심 없이는 힘들거 같은데,5,동해물과백두산,ㄴ 내이름은그루트다 젊은 시이오들이 스포츠에 관심들이 많아지길,2023.07.27 19:59
저쿠팡대표가 축구를 좋아하나?,내이름은그루트다,2023.07.27 19:56,중계권 따는 거 보면 아무리 비즈니스라해도 사심 없이는 힘들거 같은데,5,컴덕후,ㄴ 내이름은그루트다 쿠팡이 덴마크 리그 중계권 땀?,2023.07.27 20:03
저쿠팡대표가 축구를 좋아하나?,내이름은그루트다,2023.07.27 19:56,중계권 따는 거 보면 아무리 비즈니스라해도 사심 없이는 힘들거 같은데,5,내이름은그루트다,ㄴ 컴덕후 딴 거 같은뎅 정확히는 모르겠는데 일요일 오후 9시에 조규성 경기 중계 해줌,2023.07.27 20:04
