cmt_num,cmt_writer,cmt_time,cmt_txt
489458_1,No.30 Messi,24.05.19,아이폰 유저인데 화면 창모드에서 다시 전체화면으로 바꾸면 무조건 일시정지 되는것도 좀 개선해줬으면 합니다
489458_3,LeBron James,24.05.19,22222
489458_2,윤비트,24.05.19,전 전체화면 할 때마다채팅창 나오는게 기본인것 좀 바꿔줬으면..
489439_1,포항스틸러스!,24.05.19,고정해놓으셨나요?
489439_2,Clarence Seedorf작성자 본인 여부작성자,24.05.19,네
489439_3,호다다다닥,24.05.19,그럴리가요
488900_1,프리카스,24.05.19,epl은 25 26부터 시작하지않나용
488900_2,축구부장작성자 본인 여부작성자,24.05.19,네 내년부터
488900_3,프리카스,24.05.19,축구부장챔스에 개인적으로 nba도 가져왔으면 합니다ㅋㅣㄱ
488900_5,축구부장작성자 본인 여부작성자,24.05.19,프리카스서버 터질듯 ㄷㄷ
488900_4,Mima,24.05.19,분데스는 티빙쪽 아닌가용?? 분데스도 쿠팡이 먹었나
488900_6,축구부장작성자 본인 여부작성자,24.05.19,어디서 봤는데 분데스도 이제 쿠플이 한다고
488900_7,Mima,24.05.19,축구부장오오 이러면 진짜 와우 가격 인상 대폭 더 하지않는이상 축구팬으로선 ㄱ이득이네용ㅎㅎ
488900_9,축구부장작성자 본인 여부작성자,24.05.19,Mima축구팬이면 와우회원 개이득이죠 야구는 티빙
488622_1,치타,24.05.18,축잘알ㄷㄷ
488622_2,더범,24.05.18,그 유미 말고
488622_3,3LungPark,24.05.18,뒷공간까지 언급ㄷㄷㄷ 축잘알
488622_4,호다다다닥,24.05.18,
488622_5,재작년에는김현팬,24.05.18,저번라운드에 숭의왔는데 업로드할지 안할지 모르겠음...인천 우비입은거보고 내심 인며들길 기대했는데 ㅠㅜ
488622_6,다이나믹피치,24.05.18,축잘알 ㅎㄷㄷ
488441_1,다현,24.05.15,뒷문이 든든함요
488441_2,헤르초그작성자 본인 여부작성자,24.05.15,근데 좀 불안하긴 하네요 공간 허용하는 느낌...ㅠㅠ
488441_3,Gunnersaurus,24.05.15,작년 박성수 그 아마추어 보다가 김다솔 보니까 든든함ㅋㅋ
488441_4,오둥이,24.05.15,진짜 박성수는..ㅋㅋ
488419_1,제시 마치,24.05.15,해병대 친구들이랑 한따까리 보여주나ㅋㅋ
488418_1,박지현,24.05.15,ㅋㅋㅋ 개그맨 폼 미쳤다
488418_2,잠이부족해,24.05.15,싸움좀 하는 골키퍼출신이 오네 ㄷㄷㄷ
488418_3,포항아처,24.05.15,왜 김동현인가 했더니 해병대 출신..
488416_1,묘느리미나리,24.05.15,매끼야~~??!!!!!
485529_1,마이너스템포,24.05.04,간zi예은ㅋㅋ
485529_2,H_Crespo,24.05.04,
485529_3,베토벤,24.05.04,지예흐ㄷㄷ
485529_4,더범,24.05.04,
484607_1,버츠비,24.05.01,ㅠㅠ다 보고 싶은데 ㅠㅠ
484607_3,광주FC,24.05.01,광주!!
484607_2,H_Crespo,24.05.01,ㅠㅠ
483610_1,음교수2,24.04.28,네 JTBC 맞아요
481917_1,아르센옹,24.04.21,좋네요 ㅎㅎㅎ
481917_2,3LungPark,24.04.21,근본 ㄷㄷㄷㄷ
481917_3,수원블루윙즈,24.04.21,근본 ㄷㄷㄷ
481917_4,호다다다닥,24.04.21,근본
