num,subject,nick,write_time,views,url,contents
489458,그나저나 정말 쿠플은 멀티뷰 해줄 생각이 없는 걸까요,잔소리 봇,24.05.19,282,http://m.cafe.daum.net/rocksoccer/ADs2/489458?searchView=Y,"생각해보니 티빙도 멀티뷰는 안되긴 하네요
근데 진짜 여러 프로리그 중계가 목표라면
멀티뷰 안만들면 원성좀 들을건데
아닌가 나만 불만인가
시대가 어느시댄데 동시팔로우가 안되니…"
489439,아이폰으로 쿠플 보는데 왜 자꾸 가로고정 풀리죠!,Clarence Seedorf,24.05.19,105,http://m.cafe.daum.net/rocksoccer/ADs2/489439?searchView=Y,"? 아무것도 누르지 않았는데 자꾸 풀려서 세로모드로 바뀌네요
저만 이러나요"
488900,쿠플이 EPL까지 먹으면 축구 천하 통일한거죠?,축구부장,24.05.19,323,http://m.cafe.daum.net/rocksoccer/ADs2/488900?searchView=Y,아 아직 통일 못한 챔스가 남아있나
488895,쿠플은 이승모 얘기 아직 안 들어갔나보다 ㄷㄷ,버츠비,24.05.19,141,http://m.cafe.daum.net/rocksoccer/ADs2/488895?searchView=Y,"배성재랑 현영민
직접 경기보고 이승모로 바뀐거 알아챔 ㄷㄷㄷㄷ"
488622,[움짤]정유미84가 짚어보는 지지대더비 관전 포인트.gif,음교수2,24.05.18,"2,873",http://m.cafe.daum.net/rocksoccer/ADs2/488622?searchView=Y,쿠플픽 뭐하냐 빨리 섭외하라고....
488441,[☆안양]김다솔 ㄷㄷㄷ,헤르초그,24.05.15,487,http://m.cafe.daum.net/rocksoccer/ADs2/488441?searchView=Y,오늘 예매 취소하고 쿠플로 보는데  김다솔 잘막네요 ㄷㄷ
488419,다음주 쿠플픽 스턴건 김동현,금새록,24.05.15,675,http://m.cafe.daum.net/rocksoccer/ADs2/488419?searchView=Y,
488418,[움짤][광주 vs 울산] 다음 쿠플픽 게스트 매미킴 김동현.gif,음교수2,24.05.15,"1,379",http://m.cafe.daum.net/rocksoccer/ADs2/488418?searchView=Y,
488416,쿠플픽 게스트) 포항vs서울 매미킴 김동현,안양윤두준,24.05.15,208,http://m.cafe.daum.net/rocksoccer/ADs2/488416?searchView=Y,
488229,[★울산][광주 vs 울산] 쿠플픽 최다 출장 보유자 홍명보 감독.gif,음교수2,24.05.15,229,http://m.cafe.daum.net/rocksoccer/ADs2/488229?searchView=Y,
485529,[K리그][서울 vs 울산] 다음 쿠플픽 게스트 : 지예은.gif,음교수3,24.05.04,709,http://m.cafe.daum.net/rocksoccer/ADs2/485529?searchView=Y,
485523,다다음주 쿠플픽 지예은 ㄷㄷㄷ,우왁굿,24.05.04,52,http://m.cafe.daum.net/rocksoccer/ADs2/485523?searchView=Y,와
485095,[K리그]K리그1 10라운드 공식 관중수,이태석이승준,24.05.01,711,http://m.cafe.daum.net/rocksoccer/ADs2/485095?searchView=Y,"대전 vs 김천 4,973명
수원FC vs 서울 7,570명
대구 vs 울산 11,466명
2024시즌 전 경기 1만 이상 관중 기록중입니다.
인천 vs 전북 10,094명
제주 vs 광주 4,502명
강원 vs 포항 4,157명
10라운드 총 관중 - 42,762명
10라운드 평균관중 - 7,127명
2024시즌 총 관중 - 669,538명
2024시즌 평균관중 - 11,345명
11라운드 매치업
5월 4일 토요일
14:30 서울 vs 울산 - 서울월드컵경기장(쿠플픽)
16:30 포항 vs 전북 - 포항스틸야드
5월 5일 일요일(어린이날)
14:00 수원FC vs 강원 - 수원종합운동장
16:30 김천 vs 인천 - 김천종합운동장
5월 6일 월요일(대체공휴일)
14:00 제주 vs 대구 - 제주월드컵경기장
16:30 광주 vs 대전 - 광주축구전용경기장"
484607,아.. 같은 시간에 4경기를 동시에 하다보니 보기 힘드네요 ㅠㅠ,Tensegrity Universe and Philosophy,24.05.01,155,http://m.cafe.daum.net/rocksoccer/ADs2/484607?searchView=Y,"일단 대구-울산이랑 제주-광주 두개 띄워놓고 봄
쿠플은 동접수 늘려달라!!!"
483610,케이블이랑 쿠플이랑 해설자 다른가요?,W ROONEY,24.04.28,182,http://m.cafe.daum.net/rocksoccer/ADs2/483610?searchView=Y,오늘 전북경기요 jtbc에서 하던데
481917,[☆수원][안양 vs 수원] 쿠플 엔딩곡 : 김주찬 신청곡 / 노브레인 - 나의 사랑 나의 수원.gif,음교수2,24.04.21,459,http://m.cafe.daum.net/rocksoccer/ADs2/481917?searchView=Y,
481915,[K리그][안양 vs 수원] 다음 쿠플픽 게스트 : 前 쥬얼리 예원.gif,음교수2,24.04.21,874,http://m.cafe.daum.net/rocksoccer/ADs2/481915?searchView=Y,
481721,쿠플 방심위 들어가는거 아닙니까? ㅋㅋ,madani,24.04.21,265,http://m.cafe.daum.net/rocksoccer/ADs2/481721?searchView=Y,아무래도 약을 쎄게 한거 같은데 ㅋㅋㅋ
481536,해설진 빠방해서 어색하네요,David Beckham,24.04.21,153,http://m.cafe.daum.net/rocksoccer/ADs2/481536?searchView=Y,쿠플픽 감사
481478,안양 vs 수원 쿠플픽 기념 밤양갱 한준희 ver.,이태석이승준,24.04.21,231,http://m.cafe.daum.net/rocksoccer/ADs2/481478?searchView=Y,"https://youtu.be/DppQ2oXooG0?si=QbDzJTDOfybmryF3
쿠팡플레이 도핑검사가 시급합니다"
480980,스카이스포츠 프리뷰 인터넷으로 볼수 있는방법은 없죠?,시골개,24.04.20,59,http://m.cafe.daum.net/rocksoccer/ADs2/480980?searchView=Y,쿠플에서 볼수있음 좋을텐데ㅠㅠ
480804,"[기사]쿠팡플레이, 'K2 최초 쿠플픽' 선보인다...이경규와 함께 '지지대 더비' 안양-수원 생중계 / 사위 김영찬과 동반 출연 예고",바이언2,24.04.19,"2,236",http://m.cafe.daum.net/rocksoccer/ADs2/480804?searchView=Y,"http://www.osen.co.kr/article/G1112319891
지난 3월 첫 쿠플픽을 장식한 '예능 대부' 이경규가 게스트로 출연하는 것도
관전 포인트다. 안양 수비수이자 이경규의 사위인 김영찬이 동반 게스트로
예정되어 ‘찐가족'의 케미에 대한 기대를 모은다. 또한, ‘축구 해설 원톱’ 한
준희 해설위원과 배성재 캐스터가 K리그2 경기 현장에서는 처음으로 호흡
을 맞춘다."
480802,"[기사]승강 PO 리벤지+쿠플픽+대규모 관중 예고…2부 1,2위 만남 그 이상, 화제성 최고의 ‘지지대더비’ 온다",바이언2,24.04.19,266,http://m.cafe.daum.net/rocksoccer/ADs2/480802?searchView=Y,"https://www.sportsseoul.com/news/read/1420965?ref=naver
지난시즌 강등된 수원은 우려 속에서도 3연승으로 결과를 내고 있다. 수
원의 3연승은 2020시즌 이후 4년여 만이다. 안양까지 꺾으면 2018시즌
이후 6년여 만에 4연승을 달성하게 된다. 공격수 김현은 3연승 기간 3골
1도움으로 매서운 감각을 뽐내고 있다. 또 시즌을 앞두고 안양에서 수원
으로 이적한 수비수 백동규의 출전 여부도 관심사다."
480725,"[기사]'지지대 더비' 앞둔 폭풍전야의 안양, 중계 부스부터 문자까지 '총력전'",바이언2,24.04.17,451,http://m.cafe.daum.net/rocksoccer/ADs2/480725?searchView=Y,"https://www.sports-g.com/news/articleView.html?idxno=206079&fbclid=IwZXh0bgNhZW0CMTEAAR2aXDTs1Jvtwm76uujYAhc1nQhEZ2qp3cyKDEw23bUcrZyHIK02vtzMqTo_aem_ASnYro1QUe2M15BK1DuSWD7QD3-BmEhxXIznSCNntDx-jMMOSlI9Gt-mmJtwjXQf-JuO9gpMVX7FuGjQJGdVrsgh
'쿠플픽'으로 안양은 분주해졌다. 안양은 처음으로 중계 부스 두 개가 필요하다는 사실
을 알았다. 중계진도 늘어난다. 안양 구단 관계자는 ""원래 중계에는 20명의 인력이 동
원된다""라면서 ""그런데 쿠플픽으로 인해 중계진 35명이 더 늘어난다. 총 55명의 중계
진이 온다. 일단 추가적으로 필요한 중계 부스는 가변석 테이블에 마련할 예정""이라
고 전했다.
안양시도 가세해 분위기를 끌어올리고 있다. 코리아컵 킥오프 약 40분 전 안양시청
체육과 번호로 장문의 문자가 발송됐다. 메시지에는 'K리그 1, 2를 통틀어 유일하게
무패 행진 중인 FC안양과 수원삼성이 안양종합운동장에서 격돌합니다'라는 말로
시작됐다.
이어 이 메시지에는 '4,000명 이상 수원삼성 대규모 원정단의 응원이 예상된다'라
면서 '우리의 홈 구장이 원정 경기장으로 변하지 않도록 많은 홍보와 응원 부탁드
린다'면서 해당 경기의 예매 정보를 적어놓았다. 안양시청 차원에서 수원삼성에
밀릴 수 없다는 각오로 이례적인 문자를 발송한 것이었다.
다만 아쉬움은 있다. 안양 입장에서 가장 힘을 보탤 수 있는 최대호 구단주가 해
외 출장으로 인해 '지지대 더비'에 참석하지 못한다. 대신 최대호 구단주의 구단
사랑은 여전했다. 최대호 구단주는 해외 출장 전에 안양시청 각 부서와 '지지대
더비' 홍보에 대한 대책 회의를 한 것으로 전해졌다."
479359,엥? 전북 광주 경기 쿠플 해설 없나요?,치얼스,24.04.13,250,http://m.cafe.daum.net/rocksoccer/ADs2/479359?searchView=Y,"방금 틀었는데
그냥 현장음만 나와서 당황스럽네요
쿠팡에서 이런 거 처음인데
그동안은 운좋게 해설자 있는 경기만 봤던건가;"
479347,쿠플 중계 해설도 안나오고 사이드카메라인데 TV도 그래요?,Peter Parker,24.04.13,235,http://m.cafe.daum.net/rocksoccer/ADs2/479347?searchView=Y,ㅠㅠ
479287,쿠플픽은 항상 생방이죠??,Son Heung min,24.04.13,163,http://m.cafe.daum.net/rocksoccer/ADs2/479287?searchView=Y,아니면 사녹하고 방송하는건가요?
479281,쿠플픽 보는데 오디오 이상한데???,이태석이승준,24.04.13,206,http://m.cafe.daum.net/rocksoccer/ADs2/479281?searchView=Y,잡음 나오는 거 저만 그런가요??
479279,쿠플픽 김기동 피셜 린가드 수술(시술) 했다네요,LEE KANG iN,24.04.13,416,http://m.cafe.daum.net/rocksoccer/ADs2/479279?searchView=Y,"최근 연습경기 45분 뛰고 불편함 느껴서
어제 10분정도 걸리는 시술 수준의 수술했다네요
한달정도면 그라운드 복귀할수 있을거라는것 같습니다."
479274,킹기동,(이름없음),24.04.13,391,http://m.cafe.daum.net/rocksoccer/ADs2/479274?searchView=Y,"포항 팬들한테 인사하시고
쿠플픽 참가"
479252,오늘 서울 vs 포항전 쿠플픽 게스트 - 에이핑크 오하영,이태석이승준,24.04.13,719,http://m.cafe.daum.net/rocksoccer/ADs2/479252?searchView=Y,드디어 오하영!!!!
