cmt_num,cmt_writer,cmt_time,cmt_txt
488894_1,더범,24.05.19,중계는 제 때 나와야하는데
488886_1,별빛사냥꾼,24.05.19,결과만 알수있겠네요 승리하길 바랍니다
488886_2,더범작성자 본인 여부작성자,24.05.19,파란 화면뿐
487459_1,더범,24.05.11,"그러게요, 경기 찾기 편하게 고쳐줬으면"
487425_1,Royal_Black☆SFC,24.05.11,중계권자 입장에서는 잘라버리는 게 맞긴 하죠. 본인들이 중계권 산 건 투자의 일종인데 굳이 안 좋은 장면 놔뒀다가 손해 보기는 싫을 테니까.
487425_2,엄지공주 오무지,24.05.11,대체로 다 그렇게 합니다
487425_3,엮은이는아는데요김경식씨,24.05.11,유튜브 가면 엄청 많더라구요 ㅋㅋㅋ
487425_4,수원삼성조유리,24.05.11,굳이 올릴 이유가 없
487425_5,奇誠庸,24.05.11,애들 볼까봐 그런 듯 ㄷㄷ
487425_6,파울로 벤투,24.05.11,애들도 보는데 잘한거 같아요
487221_2,J.S PARK,24.05.11,진짜 현타오고 부끄럽네요
487221_3,나나미카,24.05.11,오늘 솔직히 현타 진짜 세게오네요 ㅋㅋㅋ
487221_4,Clarence Seedorf,24.05.11,그들을 다 색출해서 내처야함싸잡아서 욕먹는것도 조롱 당하는것도 불편함
487221_5,댓글 정성스럽게 달기 프로젝트,24.05.11,사실 이런분들이 제일 불쌍함잘못도 없이 죄인되어버림
487221_6,(무슨의미?),24.05.11,잘못한 사람 따로 있고 피해보는 사람 따로 있고ㅠ
485759_2,호다다다닥,24.05.04,
485759_3,축구그잡채,24.05.04,위기일수록 더 뭉치는거 보면 너무 멋있음
485759_4,추달,24.05.04,ㅋㅋ진짜 열정들 대단하심
485759_5,외유내강,24.05.04,취소표가 나와도 바로 사라짐ㄷㄷㄷ
485759_6,Suwon37Love,24.05.05,
485759_7,fayewong,24.05.05,우산은 덤인가요?
485759_8,STEPbySTEP,24.05.05,비 오는데 우산 돌리는 퍼포먼스 하면 주변 사람들 빗방울에 난리나겠는데요.
485759_9,Bernardo,24.05.05,ㅠㅠㅠㅠ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
485759_10,수원블루윙즈,24.05.05,애기우비까지 준비완료요.....ㅎㅎ.....
485233_2,호다다다닥,24.05.04,저두 배뚠뚠
485233_3,맥스할로웨이,24.05.04,스카이라이프!
485233_4,muuu,24.05.04,쿠팡이요
485233_5,후뉘,24.05.04,티비로!!
485233_6,AHN JUNG HWAN,24.05.04,ㅋㅍ
485233_7,마정신챙기라작성자 본인 여부작성자,24.05.04,저도 쿠팡티비
485233_8,축구부장,24.05.04,갓팡님걸로 봐드려야죠
485233_9,금새록,24.05.04,준희옹
484590_1,버츠비작성자 본인 여부작성자,24.05.01,열렸다
484314_1,릭앤모티,24.04.29,세계화는 금방되는건 아니지만 서서히 파이가 커지고 있다고 들었습니다
484314_2,Suwon37Love,24.04.29,파이는 커지고 있어요
484314_3,강원★트레블작성자 본인 여부작성자,24.04.29,파이가 현재 커지지 않다고 생각하는건 우승상금이라..커지고 있다는 느낌도 못받고 증거도 없다고 생각...ㅠ
484314_4,Suwon37Love,24.04.29,강원★트레블우승 상금은 스폰서 금액이 늘어야 올라갈거에요. 파이는 관중이나 리그 전반적으로 인기가 골고루 있어졌으니 예전보다 커진건 맞다고 봅니다.
484314_5,"shunske,boucha,fettouhi",24.04.29,쿠팡놈들 스트리밍은 시궁창 주제에 세계화는 콧웃음 칠뿐ㅋ
