title,user_id,post_time,post,reply_cnt,reply_author,reply_content
쿠플PC로 보면 원래 화질 깨짐?,Pearplay,2023.03.04 14:47,심각하게 깨지는데?,2,전울시,왔다갔다함 ㅇㅅㅇ,2023.03.04 14:47
쿠플PC로 보면 원래 화질 깨짐?,Pearplay,2023.03.04 14:47,심각하게 깨지는데?,2,함달,엣지로 보면 괜찮다는 썰도 있음,2023.03.04 14:48
트위치 많이 봐서 720p는 적응 좀 했는데,고티에,2023.03.04 14:40,쿠플 아 480p는 좀 그래...,0,,,
나만쿠플화질 병신임?,꾸륵꾸륵,2023.03.04 14:38,거의 뭐 480p로 보는 느낌인데;,12,가을후배,나쁘지않은데?무슨경기보고있음?,2023.03.04 14:38
나만쿠플화질 병신임?,꾸륵꾸륵,2023.03.04 14:38,거의 뭐 480p로 보는 느낌인데;,12,꾸륵꾸륵,ㄴ 가을후배 대전인천!약간 오락가락하는거 같음;; 괜찮았다가 화질구지됐다가;;,2023.03.04 14:39
나만쿠플화질 병신임?,꾸륵꾸륵,2023.03.04 14:38,거의 뭐 480p로 보는 느낌인데;,12,가을후배,ㄴ 꾸륵꾸륵 그경기가 이상한듯 ㅋㅋ 포항수원은 화질 ㅅㅌㅊ인데,2023.03.04 14:39
나만쿠플화질 병신임?,꾸륵꾸륵,2023.03.04 14:38,거의 뭐 480p로 보는 느낌인데;,12,꾸륵꾸륵,ㄴ 가을후배 호에에엥ㅠ,2023.03.04 14:40
나만쿠플화질 병신임?,꾸륵꾸륵,2023.03.04 14:38,거의 뭐 480p로 보는 느낌인데;,12,조재조재영,난 수엡대포항보는데 화질 좋은데,2023.03.04 14:38
나만쿠플화질 병신임?,꾸륵꾸륵,2023.03.04 14:38,거의 뭐 480p로 보는 느낌인데;,12,ppppqpqp,스코어보드도 흐릿함 ㅋㅋㅋ,2023.03.04 14:38
나만쿠플화질 병신임?,꾸륵꾸륵,2023.03.04 14:38,거의 뭐 480p로 보는 느낌인데;,12,fm2023구매,원래 오락가락 좀 함...,2023.03.04 14:39
나만쿠플화질 병신임?,꾸륵꾸륵,2023.03.04 14:38,거의 뭐 480p로 보는 느낌인데;,12,liiilil!,자동 최적화임,2023.03.04 14:39
나만쿠플화질 병신임?,꾸륵꾸륵,2023.03.04 14:38,거의 뭐 480p로 보는 느낌인데;,12,고티에,안좋긴해,2023.03.04 14:39
나만쿠플화질 병신임?,꾸륵꾸륵,2023.03.04 14:38,거의 뭐 480p로 보는 느낌인데;,12,B.O.B,멀루 보는거야? 기기 타는 것 같더러,2023.03.04 14:54
나만쿠플화질 병신임?,꾸륵꾸륵,2023.03.04 14:38,거의 뭐 480p로 보는 느낌인데;,12,꾸륵꾸륵,ㄴ B.O.B 노트북!,2023.03.04 14:54
나만쿠플화질 병신임?,꾸륵꾸륵,2023.03.04 14:38,거의 뭐 480p로 보는 느낌인데;,12,B.O.B,ㄴ 꾸륵꾸륵 알기론 핸드폰 > pc > 스마트티비 순으로 화질 타는것 긑더라구,2023.03.04 15:07
쿠플이 많이 느리긴 하구나,고시원룸,2023.03.04 14:23,티비로 보는 친구한테 티아고 골 스포당함ㅋㅋㅋ,3,as14,ㄹㅇㅋㅋ,2023.03.04 14:23
쿠플이 많이 느리긴 하구나,고시원룸,2023.03.04 14:23,티비로 보는 친구한테 티아고 골 스포당함ㅋㅋㅋ,3,임창정,엌ㅋㅋ,2023.03.04 14:23
쿠플이 많이 느리긴 하구나,고시원룸,2023.03.04 14:23,티비로 보는 친구한테 티아고 골 스포당함ㅋㅋㅋ,3,고티에,ㄹㅇㅋㅋ,2023.03.04 14:24
쿠플대전 경기 나만 화질 쓰렉이냐?,저축11,2023.03.04 14:07,pc 크롬 등번호조차 잘 안보임 ㅋㅋ,6,ABang.,엣지로 봐도 조금 더 나은 정도 ㅋㅋ,2023.03.04 14:07
쿠플대전 경기 나만 화질 쓰렉이냐?,저축11,2023.03.04 14:07,pc 크롬 등번호조차 잘 안보임 ㅋㅋ,6,고시원룸,나는 괜찮은디..,2023.03.04 14:08
쿠플대전 경기 나만 화질 쓰렉이냐?,저축11,2023.03.04 14:07,pc 크롬 등번호조차 잘 안보임 ㅋㅋ,6,파란물결,PC면 엣지로 보셈,2023.03.04 14:08
