num,subject,nick,write_time,views,url,contents
489560,[기사]토트넘과 바이에른 뮌헨은 오는 8월 3일 서울 월드컵경기장에서 일전을 벌인다. 팀 K리그도 어김없이 함께 한다.,바이언2,24.05.20,280,http://m.cafe.daum.net/rocksoccer/ADs2/489560?searchView=Y,"https://www.besteleven.com/news/articleView.html?idxno=224969
한편 쿠팡플레이는 토트넘에 앞서 바이에른 뮌헨도 올해 쿠팡플레이 시리즈에
출전한다고 밝힌 바 있다. 토트넘과 바이에른 뮌헨은 오는 8월 3일 서울 월드컵
경기장에서 일전을 벌인다. 팀 K리그도 어김없이 함께 한다. 쿠팡플레이는 향
후 경기 상세 일정과 티케팅 등 자세한 내용을 공지할 계획이다.
https://www.news1.kr/articles/5420736
쿠팡플레이는 대한축구협회를 통해 경기 승인 절차를 진행하는 중이다. 경기의 장
소, 일정 및 세부 사항은 변경 될 수 있다."
488894,벌써부터 쿠팡 문제가 너무 많네 내년 epl 걱정됨,King of asia ULSAN,24.05.19,258,http://m.cafe.daum.net/rocksoccer/ADs2/488894?searchView=Y,스포티비랑 같은 급 같음;;; 벌써부터 방송 문제점 한두번이 아니네;;;
488886,강원 울산 경기만 쿠팡 안 열리네요. ㅜㅜ,더범,24.05.19,118,http://m.cafe.daum.net/rocksoccer/ADs2/488886?searchView=Y,'현재 송출 관련 기술적인 문제로 중계 지연'
488874,오잉 해설 현영민이네요 ㄷㄷ,버츠비,24.05.19,36,http://m.cafe.daum.net/rocksoccer/ADs2/488874?searchView=Y,"언제 해설했지
쿠팡에서는 안 보였던 것 같은데 ㄷㄷ"
487459,축구 밀어주는 쿠팡플레이 참 좋은데.. 메뉴 개선 좀 안되나,축구부장,24.05.11,422,http://m.cafe.daum.net/rocksoccer/ADs2/487459?searchView=Y,하아..오늘 K리그 경기들 다시 보려는데 너무 불편하네..
487425,엥 쿠팡 풀영상은 물병 장면 짤라서 올렸네요,킹덤 왕기,24.05.11,716,http://m.cafe.daum.net/rocksoccer/ADs2/487425?searchView=Y,"중계 버전 자세히 좀 볼라 그랬더니
안좋은 장면이라 그냥 짤라서 올렸네요"
487221,[☆인천]에휴 그저 인천 연고 팀 응원할 뿐인건데,베로,24.05.11,621,http://m.cafe.daum.net/rocksoccer/ADs2/487221?searchView=Y,"일때문에 경기장 못가고 쿠팡으로 열심히 응원 했건만
멍청한 짓꺼리들 해서 그외 멀쩡한 팬들 별 욕 다 보고
같은 팬도 물병 맞고 선수도 맞고 참 힘드네요
앞으로 연맹 징계 받는거 말고도
구단에서 자체 징계를 강하게 해서 좀 뭐라도 나아지길
바라는 수밖에..
일단 잡을 사람들 잡고 서포터석을 시즌내 폐쇄하고
펜스 그물망 쳐야할듯"
485759,[☆수원]경기날 비온다니까 예매취소가 아니라 우비 구하는 광기의 수원팬들...,정휘인,24.05.04,"1,013",http://m.cafe.daum.net/rocksoccer/ADs2/485759?searchView=Y,"내일 성남 원정 비온다니까 예매취소는 안하고
쿠팡에서 우비 사고있음..
심지어 예전에 우천시 구단에서 나눠줬었던 우비를 이제 못구하니
그거랑 비슷한 색,재질 찾아서 사고있음
이사람들 진짜 미친거같아요...무서워.."
485233,울산 서울 쿠팡이랑 스카스포츠중 뭘로 보세요?,마정신챙기라,24.05.04,195,http://m.cafe.daum.net/rocksoccer/ADs2/485233?searchView=Y,전 쿠팡
484590,쿠팡아~ 제주광주 경기도 열어줘~~~,버츠비,24.05.01,90,http://m.cafe.daum.net/rocksoccer/ADs2/484590?searchView=Y,열어줘~ 열어줘~
484314,달수네 라방보는데 쿠팡이 K리그 독점중계 + EPL 6년 독점중계하면..,강원★트레블,24.04.29,"1,254",http://m.cafe.daum.net/rocksoccer/ADs2/484314?searchView=Y,"K리그의 시장의 파이를 넓힐 수 있으려나?
독점이 위험하긴한데 기사에 나온거처럼 EPL의 중계료에 대한 운영비 명목으로 균등하게 받는거처럼 K리그도 그렇게되면 K리그의 세계화가 될 수 있으려나?
https://www.chosun.com/national/weekend/2022/09/10/AMOWMUJ4KZGPNPFM6MNKJE3WFE/
이적료만 3조원...EPL은 어떻게 세계 최고의 리그가 됐나[아무튼, 주말]
이적료만 3조원...EPL은 어떻게 세계 최고의 리그가 됐나아무튼, 주말 더 치열한 경쟁을 위한 균등 분배 출범 30년 만에 세계 최고 리그 된 EPL
www.chosun.com"
484256,그래도 쿠팡이 축구에 몰빵하는거 같아 기분좋네요,축구부장,24.04.28,"2,029",http://m.cafe.daum.net/rocksoccer/ADs2/484256?searchView=Y,"햄볶합니다
이강인 김민재도 EPL로 왔으면.."
483602,아앗 스샷찍었는데 글 지워졌다 ㅠㅠ,버츠비,24.04.28,192,http://m.cafe.daum.net/rocksoccer/ADs2/483602?searchView=Y,쿠팡 다시보기 풀버전에서는 8분 준 것 같은데
481478,안양 vs 수원 쿠플픽 기념 밤양갱 한준희 ver.,이태석이승준,24.04.21,230,http://m.cafe.daum.net/rocksoccer/ADs2/481478?searchView=Y,"https://youtu.be/DppQ2oXooG0?si=QbDzJTDOfybmryF3
쿠팡플레이 도핑검사가 시급합니다"
480804,"[기사]쿠팡플레이, 'K2 최초 쿠플픽' 선보인다...이경규와 함께 '지지대 더비' 안양-수원 생중계 / 사위 김영찬과 동반 출연 예고",바이언2,24.04.19,"2,235",http://m.cafe.daum.net/rocksoccer/ADs2/480804?searchView=Y,"http://www.osen.co.kr/article/G1112319891
지난 3월 첫 쿠플픽을 장식한 '예능 대부' 이경규가 게스트로 출연하는 것도
관전 포인트다. 안양 수비수이자 이경규의 사위인 김영찬이 동반 게스트로
예정되어 ‘찐가족'의 케미에 대한 기대를 모은다. 또한, ‘축구 해설 원톱’ 한
준희 해설위원과 배성재 캐스터가 K리그2 경기 현장에서는 처음으로 호흡
을 맞춘다."
480763,"[☆인천][공홈] 인천유나이티드 시리즈 다큐 '피치 위에서', 쿠팡플레이에서 보자!",바이언2,24.04.18,86,http://m.cafe.daum.net/rocksoccer/ADs2/480763?searchView=Y,https://www.incheonutd.com/fanzone/feeds_view.php?idx=4504&tgbn=feeds_news
480439,[코리아컵]2024 코리아컵 3라운드부터 쿠팡플레이 전 경기 생중계,바이언2,24.04.17,491,http://m.cafe.daum.net/rocksoccer/ADs2/480439?searchView=Y,https://www.youtube.com/channel/UCnBht7BrOx-A328KFXgysqQ/community?lb=UgkxXim8jNjo6mUxhj1rN4w5B1--9uIwRqb6
479359,엥? 전북 광주 경기 쿠플 해설 없나요?,치얼스,24.04.13,249,http://m.cafe.daum.net/rocksoccer/ADs2/479359?searchView=Y,"방금 틀었는데
그냥 현장음만 나와서 당황스럽네요
쿠팡에서 이런 거 처음인데
그동안은 운좋게 해설자 있는 경기만 봤던건가;"
479220,"[기사]쿠팡와우 멤버십, 내일부터 월 7890원으로 변경",쏜님,24.04.12,"1,779",http://m.cafe.daum.net/rocksoccer/ADs2/479220?searchView=Y,https://n.news.naver.com/article/005/0001688188?sid=101
479218,쿠팡 멤버십 인상이라네요.,이럴수록,24.04.12,491,http://m.cafe.daum.net/rocksoccer/ADs2/479218?searchView=Y,"4990원 -> 7890 원으로 인상이라는군요. 중계 때문에 해지도 힘들고 한방에 너무 많이 올리네요.
https://n.news.naver.com/article/081/0003443788?sid=101
배달 무료라더니…쿠팡, 내일부터 멤버십 58.1% 인상 ‘7890원’
쿠팡이 자사 유료 멤버십인 ‘와우 멤버십’ 월 회비를 현재 4990원에서 7890원으로 58.1% 올린다고 밝혔다. 12일 유통업계에 따르면 오는 13일 신규회원부터 쿠팡와우 월 회비를 7890원으로 적용한다
n.news.naver.com"
478955,쿠팡플레이는 이전 장면들 못 보죠?,버츠비,24.04.10,101,http://m.cafe.daum.net/rocksoccer/ADs2/478955?searchView=Y,"경기 끝나야 볼 수 있죠???
방송사에서 보여준 장면 말고
그 전에 뭔가 옵사이드라고 할만한 장면이 있었는가봐요"
478337,스카이스포츠는 4시반 경기 시작인데도 광고 하고 있네요,치타,24.04.07,190,http://m.cafe.daum.net/rocksoccer/ADs2/478337?searchView=Y,"스카이스포츠에서 수원청주 보려다가 4시반에도 광고하는거 보고 쿠팡 왔더니 이미 경기 시작
아오"
477984,쿠팡 하이라이트 보다가,엄지공주 오무지,24.04.06,841,http://m.cafe.daum.net/rocksoccer/ADs2/477984?searchView=Y,썸네일 보고 옷 찟어진 건 줄 알았음 ㄷㄷㄷ
476086,월드스타 싸이가 K리그 경기장까지 왔는데 방송화면에도 잡히지 않은건 아쉽습니다,축구부장,24.03.30,"1,910",http://m.cafe.daum.net/rocksoccer/ADs2/476086?searchView=Y,"밑에 기사보고 그 이유를 들었지만..많이 아쉽네요.
임영웅과는 또다른 레벨의 글로벌 월드스타가 K리그 경기장 오는거 진짜 흔치 않은데..
오히려 방송에 내보내면 유튜브등 수백만 조회수도 가능하고, 전북, K리그가 더 뉴스,방송매체등 글로벌에 홍보되고 쿠팡도 더 신났을텐데..굳이 단지 그 이유로 저랬어야 됬었나...
사실은 초상권,개런티 문제 였을려나요..작년 임영웅 방문으로 두고두고 회자된걸 생각하니 더욱 아쉽긴 합니다.
https://www.sports-g.com/news/articleView.html?idxno=205694&fbclid=IwAR2jjcyW10kqYtlTLMArrV5WG4S5Gho_aeGc9ixLI4OmzgA3Rl3ijAaOPc0_aem_AQLNpSEQZ5k6VZ2NC4wbk5UWhAcBmRF9PVSQotTZkdXpCKV_CPL3uTJfgRX8A04OrqGHhog-B9JPcc7TVrVL8D0i#_wider
마침내 전주성 찾은 싸이, 방문 사실 끝까지 공식 발표하지 않은 이유는? - 스포츠니어스
[스포츠니어스 | 전주=명재영 기자] 싸이가 전주성에 왔다.전북현대가 30일 전주월드컵경기장에서 하나은행 K리그1 2024 4라운드 울산HD와의 이번 시즌 세 번째 현대가 더비 경기를 치렀다. 궂은 날
www.sports-g.com
팬들을 위한 이벤트는 다다익선이라지만 문제는 '월드 스타' 싸이의 방문 소식이 공식화되면 레전드 이동국 데이가 상대적으로 관심을 받지 못하게 될 수 있다는 점이었다."
476081,쿠팡이 어느덧 K리그 중계 3년차인데..정체되지 말고 새로운 것 더 했으면,축구부장,24.03.30,"1,651",http://m.cafe.daum.net/rocksoccer/ADs2/476081?searchView=Y,"처음 쿠플픽, 프리뷰쇼의 신선했는데 여기에 더 해서 새로운 것 더 했으면 좋겠습니다.
라리가월드 처럼, K리그월드, 위클리 매거진 등등.
MLB나 NFL 등 다른거 신경 쓰지말고 쿠팡은 K리그에만 쭉 올인하자"
476075,쿠팡플레이 약간 의외인점,이진현,24.03.30,"1,891",http://m.cafe.daum.net/rocksoccer/ADs2/476075?searchView=Y,김인성 갑분센터
475265,하프타임 게시판보니 상암은 벌써 공연이 3팀이나 잡혀있군요,경남도민프로축구단,24.03.24,"1,995",http://m.cafe.daum.net/rocksoccer/ADs2/475265?searchView=Y,"4월 5월 연속 공연하고 장마철 폭우 얻어맞으면...
쿠팡시리즈도 힘들지 모르겠네요
축구전용구장을 공연장으로 계속 쓸거면
그냥 진짜 토트넘처럼 바닥 갈아끼우기 신공 해야될거같은데...
돈이 엄청 들거니까 시민들의 동의를 얻고 리모델링을 추진하는 과정이 쉽지 않겠죠..?"
474995,오늘 FA컵 아닌가요? 볼 수 있는곳이 없네..,Bazilak Kal Kuksu,24.03.23,514,http://m.cafe.daum.net/rocksoccer/ADs2/474995?searchView=Y,쿠팡도 없고 네이버도 없고 오늘 경기 있는건 맞음?
474883,"[오피셜] 쿠팡플레이 , 올 여름 바이에른뮌헨 초청확정",뭐라고하지,24.03.20,"1,917",http://m.cafe.daum.net/rocksoccer/ADs2/474883?searchView=Y,"https://www.instagram.com/reel/C4ucfpWpcp8/?igsh=MTZyZGIzcTdlcjVhcg==
https://n.news.naver.com/sports/wfootball/article/001/0014576020
김민재 뛰는 독일축구 명가 바이에른 뮌헨, 올여름 첫 방한
독일 축구 명가 바이에른 뮌헨, 올여름 최초 방한[쿠팡플레이 제공. 재판매 및 DB금지] (서울=연합뉴스) 이의진 기자 = 한국 축구 수비의 핵 김민재가 뛰는 '독일 축구 명가' 바이에른 뮌헨이 구단
n.news.naver.com"
474774,티빙 보니 쿠팡에 고맙네요,달려라거북이,24.03.18,"1,067",http://m.cafe.daum.net/rocksoccer/ADs2/474774?searchView=Y,"티빙 야구 중계로. 터지는 문제들
오늘쿠팡에서 야구 서울시리즈 쏟아지는 호평
쿠팡중계를 부러워하는 야구팬들 보니
어차피 유료화 될 일이었다면. K리그와
손잡아준 쿠플 정말 고마운 요즘입니다
쿠플에 너무 만족합니다 다만 바라는게. 있다면
다음계약 때 중계권료좀 3배이상 올려 주세요"
473553,서울경기 지금 모바일로 볼수있는곳어디죠,돌문트,24.03.16,121,http://m.cafe.daum.net/rocksoccer/ADs2/473553?searchView=Y,쿠팡말고는 볼수있는방법 없을까요?!
473519,쿠팡은 그냥 축구만 하지...,축구부장,24.03.16,630,http://m.cafe.daum.net/rocksoccer/ADs2/473519?searchView=Y,"EPL, ACL이나 중계권 사오고
야구는 SPOTV나 티빙에 줘버리지..아쉽네요"
