날짜,페이스북팔로워,페이스북좋아요,인스타팔로워,인스타게시글수,유튜브구독자수,유튜브조회수
2023.12.01,100000,130000,201000,7760,293000,381798899
2023.11.01,100908,127533,205099,7792,291000,376986769
2023.10.01,100908,127339,205068,7790,289000,370718052
2023.09.01,100936,127244,205038,7780,286000,361930268
2023.08.01,100925,127476,205007,7797,279000,346022454
2023.07.01,100918,127263,204000,7760,271000,329569572
2023.06.01,100918,127044,159000,7786,266000,312780144
2023.05.01,100913,127339,204000,6915,260000,291683881
2023.04.01,100910,127321,159000,6907,253000,275702958
2023.03.01,100744,126403,158000,6848,247000,262577531
2023.02.01,100680,126321,157000,6825,242000,255721210
2023.01.01,100523,126097,156000,6816,241000,248386320
2023.12.02,100000,130000,201000,7760,293000,382282413
2023.11.02,100852,127558,205100,7797,291000,376986769
2023.10.02,100915,127354,205069,7792,289000,370853899
2023.09.02,100936,127251,205039,7785,286000,362344429
2023.08.02,100936,127512,205008,7799,280000,346489978
2023.07.02,100921,127276,204000,7762,272000,329983505
2023.06.02,100921,127056,159000,7789,266000,313277341
2023.05.02,100906,127354,204000,7743,260000,292076625
2023.04.02,100918,127339,159000,6915,253000,276801881
2023.03.02,100799,126472,158000,6861,247000,263049159
2023.02.02,100684,126324,157000,6828,242000,255903212
2023.01.02,100519,126093,156000,6818,241000,248617517
2023.12.03,100000,130000,201000,7762,293000,382548366
2023.11.03,100851,127587,205101,7799,291000,377383362
2023.10.03,100917,127382,205070,7797,289000,371031025
2023.09.03,100943,127253,205040,7786,286000,362521009
2023.08.03,100943,127533,205009,7799,280000,346860980
2023.07.03,100918,127289,204000,7775,272000,330131048
2023.06.03,100918,127072,159000,7790,266000,313710031
2023.05.03,100906,127382,204000,7753,261000,293228688
2023.04.03,100921,127354,159000,7743,253000,277563098
2023.03.03,100810,126489,158000,6863,248000,263460728
2023.02.03,100683,126325,157000,6828,242000,256116455
2023.01.03,100521,126096,156000,6818,241000,249174980
2023.12.04,100000,130000,202000,7775,293000,382806378
2023.11.04,100861,127072,205102,7799,291000,377383362
2023.10.04,100918,127425,205071,7799,289000,371283077
2023.09.04,100852,127263,205041,7789,287000,362879297
2023.08.04,100852,127558,205010,7802,280000,347321925
2023.07.04,100922,127321,205000,7780,272000,330411524
2023.06.04,100922,127130,159000,7792,266000,314173926
2023.05.04,100910,127425,205000,7756,261000,293228688
2023.04.04,100918,127382,159000,7753,254000,278272264
2023.03.04,100816,126499,158000,6863,248000,263730186
2023.02.04,100685,126334,157000,6828,242000,256176675
2023.01.04,100525,126105,156000,6818,241000,249719969
2023.12.05,100000,130000,202000,7780,293000,383115954
2023.11.05,100865,127130,205103,7802,291000,377764309
2023.10.05,100919,127458,205072,7799,289000,371468262
2023.09.05,100851,127276,205042,7790,287000,363235606
2023.08.05,100851,127587,205011,7804,280000,347797678
2023.07.05,100923,127339,205000,7785,272000,330699536
2023.06.05,100923,127182,159000,7780,267000,314682245
2023.05.05,100918,127458,205000,7758,261000,294082190
2023.04.05,100922,127425,159000,7756,254000,278829687
2023.03.05,100826,126513,158000,6863,248000,264089068
2023.02.05,100680,126329,157000,6828,242000,256296076
2023.01.05,100524,126109,156000,6818,241000,250503177
2023.12.06,100000,130000,202000,7785,293000,383343704
2023.11.06,100862,127182,205104,7804,292000,377963059
2023.10.06,100919,127476,205073,7802,289000,371538079
2023.09.06,100861,127289,205043,7792,287000,363618284
2023.08.06,100861,127072,205012,6887,280000,348360316
2023.07.06,100925,127354,205000,7786,272000,330991913
2023.06.06,100925,127212,159000,7785,267000,315181038
2023.05.06,100921,127476,205000,7760,261000,294626152
