단체,리그,시즌,연도,월,일,요일,홈팀,원정팀,경기장,날씨,평균기온,관중수,라운드
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,07,토,부산 아이파크,대전 시티즌,부산 아시아드,맑음,12.8℃,9082,1
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,07,토,인천 Utd,광주 FC,인천축구전용경기장,맑음,8.4℃,8012,1
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,07,토,전북 현대,성남 FC,전주월드컵경기장,맑음,12.4℃,23810,1
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,08,일,울산 현대,FC 서울,울산문수축구경기장,구름조금,12.3℃,12786,1
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,08,일,전남 드래곤즈,제주 Utd,광양전용구장,구름조금,15.5℃,12608,1
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,08,일,수원 삼성,포항 스틸러스,수원월드컵경기장,구름조금,16℃,17573,1
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,14,토,FC 서울,전북 현대,서울월드컵경기장,맑음,11.6℃,32516,2
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,14,토,수원 삼성,인천 Utd,수원월드컵경기장,맑음,11.6℃,10207,2
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,14,토,성남 FC,전남 드래곤즈,탄천종합운동장,맑음,11.6℃,6521,2
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,15,일,대전 시티즌,광주 FC,대전월드컵경기장,구름조금,15.9℃,11857,2
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,15,일,포항 스틸러스,울산 현대,포항스틸야드,구름조금,16.1℃,19227,2
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,15,일,제주 Utd,부산 아이파크,제주월드컵경기장,구름조금,14℃,15047,2
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,21,토,부산 아이파크,광주 FC,부산 아시아드,맑음,20.9℃,5038,3
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,21,토,울산 현대,전남 드래곤즈,울산문수축구경기장,맑음,21.5℃,5233,3
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,21,토,제주 Utd,대전 시티즌,제주월드컵경기장,맑음,17.5℃,5948,3
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,22,일,인천 Utd,전북 현대,인천축구전용경기장,맑음,12.8℃,9039,3
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,22,일,포항 스틸러스,FC 서울,포항스틸야드,맑음,17.2℃,16674,3
KLEAGUE,K LEAGUE 1,2015 시즌,2015,03,22,일,성남 FC,수원 삼성,탄천종합운동장,맑음,15℃,8369,3
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,04,토,FC 서울,제주 Utd,서울월드컵경기장,흐림,18.5℃,22155,4
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,04,토,수원 삼성,부산 아이파크,수원월드컵경기장,비,18.7℃,10708,4
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,04,토,전북 현대,포항 스틸러스,전주월드컵경기장,비,19.9℃,16638,4
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,04,토,대전 시티즌,성남 FC,대전월드컵경기장,비,18.2℃,1441,4
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,05,일,전남 드래곤즈,인천 Utd,광양전용구장,비,13.5℃,4336,4
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,05,일,울산 현대,광주 FC,울산문수축구경기장,비,13.8℃,4824,4
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,11,토,성남 FC,부산 아이파크,탄천종합운동장,맑음,20.7℃,3135,5
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,11,토,제주 Utd,포항 스틸러스,제주월드컵경기장,맑음,17.6℃,6078,5
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,11,토,대전 시티즌,울산 현대,대전월드컵경기장,맑음,22.4℃,3780,5
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,12,일,광주 FC,전북 현대,목포 축구센터,비,19.2℃,3064,5
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,12,일,전남 드래곤즈,수원 삼성,광양전용구장,비,19.2℃,6486,5
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,12,일,인천 Utd,FC 서울,인천축구전용경기장,구름많음,19.9℃,9767,5
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,15,수,부산 아이파크,전북 현대,부산 아시아드,맑음,19.6℃,2038,6
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,15,수,제주 Utd,광주 FC,제주월드컵경기장,구름조금,20.3℃,3013,6
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,15,수,울산 현대,수원 삼성,울산문수축구경기장,맑음,22.9℃,3401,6
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,15,수,포항 스틸러스,전남 드래곤즈,포항스틸야드,비,18.9℃,5731,6
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,15,수,FC 서울,대전 시티즌,서울월드컵경기장,비,17℃,7186,6
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,15,수,성남 FC,인천 Utd,탄천종합운동장,비,18.4℃,1902,6
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,18,토,광주 FC,성남 FC,목포 축구센터,비,19.3℃,1158,7
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,18,토,수원 삼성,FC 서울,수원월드컵경기장,구름조금,22.8℃,26250,7
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,18,토,전북 현대,제주 Utd,전주월드컵경기장,비,25.5℃,13120,7
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,19,일,대전 시티즌,포항 스틸러스,대전월드컵경기장,비,16.7℃,1800,7
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,19,일,인천 Utd,울산 현대,인천축구전용경기장,비,17.7℃,2352,7
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,19,일,부산 아이파크,전남 드래곤즈,부산 아시아드,비,17.2℃,1598,7
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,25,토,인천 Utd,포항 스틸러스,인천축구전용경기장,맑음,18.2℃,5407,8
KLEAGUE,K LEAGUE 1,2015 시즌,2015,04,25,토,울산 현대,부산 아이파크,울산문수축구경기장,맑음,23.9℃,3259,8
